"100年02月09日 外資及陸資買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2889  ","國票金          ","12,889,000","351,000","12,538,000",
" ","2344  ","華邦電          ","10,873,000","2,314,790","8,558,210",
" ","1301  ","台塑            ","13,554,000","5,545,515","8,008,485",
" ","2325  ","矽品            ","16,758,004","9,021,533","7,736,471",
" ","2337  ","旺宏            ","8,435,000","1,791,270","6,643,730",
" ","2201  ","裕隆            ","7,023,000","676,680","6,346,320",
" ","3045  ","台灣大          ","6,982,000","1,691,940","5,290,060",
" ","1710  ","東聯            ","6,526,000","1,487,000","5,039,000",
" ","2886  ","兆豐金          ","16,609,000","12,272,370","4,336,630",
" ","3702  ","大聯大          ","5,611,000","1,379,774","4,231,226",
" ","2603  ","長榮            ","5,441,000","1,889,090","3,551,910",
" ","2888  ","新光金          ","5,247,000","2,080,620","3,166,380",
" ","2882  ","國泰金          ","9,294,000","6,447,033","2,846,967",
" ","1605  ","華新            ","6,787,000","4,099,020","2,687,980",
" ","3061  ","璨圓            ","2,743,000","287,456","2,455,544",
" ","1313  ","聯成            ","2,352,000","59,000","2,293,000",
" ","2511  ","太子            ","2,810,000","567,000","2,243,000",
" ","6285  ","啟碁            ","2,418,000","274,000","2,144,000",
" ","2449  ","京元電子        ","2,164,000","199,000","1,965,000",
"*","6239  ","力成            ","4,838,306","2,962,316","1,875,990",
"*","2498  ","宏達電          ","4,546,398","2,761,398","1,785,000",
" ","1304  ","台聚            ","2,783,000","1,099,560","1,683,440",
" ","8110  ","華東            ","2,321,000","638,000","1,683,000",
" ","2834  ","臺企銀          ","3,152,000","1,571,540","1,580,460",
" ","2352  ","佳世達          ","2,111,000","538,000","1,573,000",
" ","1902  ","台紙            ","1,567,000","10,000","1,557,000",
" ","2382  ","廣達            ","7,016,570","5,599,017","1,417,553",
" ","2880  ","華南金          ","2,745,000","1,439,910","1,305,090",
" ","1440  ","南紡            ","1,533,000","263,260","1,269,740",
" ","2883  ","凱基金          ","3,677,000","2,413,660","1,263,340",
" ","2393  ","億光            ","1,544,000","281,610","1,262,390",
"*","2311  ","日月光          ","28,659,755","27,456,297","1,203,458",
" ","2002  ","中鋼            ","8,772,000","7,605,008","1,166,992",
" ","1704  ","榮化            ","1,372,000","208,980","1,163,020",
" ","2890  ","永豐金          ","3,991,000","2,924,010","1,066,990",
" ","2847  ","大眾銀          ","2,169,000","1,172,000","997,000",
" ","1326  ","台化            ","6,268,000","5,413,239","854,761",
" ","6286  ","立錡            ","1,132,000","283,650","848,350",
" ","2548  ","華固            ","1,959,000","1,176,404","782,596",
" ","1590  ","亞德客-KY       ","820,000","60,000","760,000",
" ","6005  ","群益證          ","1,075,000","319,400","755,600",
" ","2820  ","華票            ","997,000","242,000","755,000",
" ","2881  ","富邦金          ","8,976,332","8,265,726","710,606",
" ","6278  ","台表科          ","711,235","21,000","690,235",
" ","2542  ","興富發          ","1,287,000","629,780","657,220",
" ","3005  ","神基            ","657,000","0","657,000",
" ","2049  ","上銀            ","777,000","139,800","637,200",
" ","2545  ","皇翔            ","723,000","145,000","578,000",
" ","2887  ","台新金          ","8,140,000","7,578,960","561,040",
" ","2401  ","凌陽            ","560,000","7,000","553,000",
" ","2448  ","晶電            ","1,446,216","926,869","519,347",
" ","2006  ","東和鋼鐵        ","929,000","414,970","514,030",
" ","1102  ","亞泥            ","2,322,000","1,817,140","504,860",
" ","2614  ","東森            ","513,000","11,000","502,000",
" ","3034  ","聯詠            ","1,562,894","1,063,870","499,024",
" ","2903  ","遠百            ","2,198,000","1,700,460","497,540",
"*","3044  ","健鼎            ","2,076,000","1,607,670","468,330",
" ","1723  ","中碳            ","490,000","29,000","461,000",
" ","2360  ","致茂            ","1,299,000","861,500","437,500",
" ","2849  ","安泰銀          ","467,000","49,000","418,000",
" ","8008  ","建興電          ","935,000","550,000","385,000",
" ","2441  ","超豐            ","413,000","56,000","357,000",
" ","3035  ","智原            ","485,000","137,000","348,000",
" ","1718  ","中纖            ","1,347,000","1,002,000","345,000",
" ","6196  ","帆宣            ","387,000","43,000","344,000",
" ","1309  ","台達化          ","368,000","29,000","339,000",
" ","5203  ","訊連            ","429,000","95,000","334,000",
" ","5531  ","鄉林            ","369,000","36,000","333,000",
" ","2504  ","國產            ","552,000","224,000","328,000",
" ","2492  ","華新科          ","380,000","58,000","322,000",
" ","2208  ","台船            ","320,000","0","320,000",
" ",="034631","國企2X永豐3B購02","300,000","0","300,000",
" ","4904  ","遠傳            ","1,806,500","1,507,670","298,830",
" ","2837  ","萬泰銀          ","319,000","46,000","273,000",
" ","2342  ","茂矽            ","314,000","42,000","272,000",
" ","2855  ","統一證          ","495,000","229,000","266,000",
" ","2349  ","錸德            ","513,000","248,000","265,000",
" ","6153  ","嘉聯益          ","367,000","104,000","263,000",
" ","5854  ","合庫            ","2,686,000","2,435,610","250,390",
" ","2536  ","宏普            ","435,000","186,000","249,000",
" ","2809  ","京城銀          ","334,000","87,000","247,000",
" ","5471  ","松翰            ","263,000","19,000","244,000",
" ","2723  ","美食-KY         ","381,000","138,000","243,000",
" ","911606","超級            ","230,000","0","230,000",
" ","6202  ","盛群            ","237,000","8,000","229,000",
" ","2329  ","華泰            ","231,000","8,000","223,000",
" ","2014  ","中鴻            ","1,267,000","1,058,303","208,697",
" ","2426  ","鼎元            ","216,000","13,000","203,000",
" ","1736  ","喬山            ","208,000","6,000","202,000",
" ",="037025","宏達電元富3C購03","200,000","0","200,000",
" ","1308  ","亞聚            ","742,000","544,013","197,987",
" ","2451  ","創見            ","412,000","214,330","197,670",
" ","3376  ","新日興          ","228,000","32,000","196,000",
" ","2637  ","慧洋-KY         ","180,000","0","180,000",
" ","6191  ","精成科          ","206,000","33,000","173,000",
" ","1402  ","遠東新          ","7,914,000","7,742,140","171,860",
" ","3008  ","大立光          ","314,000","149,160","164,840",
" ","2388  ","威盛            ","288,000","127,000","161,000",
" ","2706  ","第一店          ","185,000","24,000","161,000",
